split,sequence,method,num_frames,psnr,ssim,sharpness,tde
calibration,010,RGB-HF-b0.20-s0.5,4,31.406584039380384,0.8767990122238796,0.0007147410506149754,0.021851370111107826
calibration,011,RGB-HF-b0.20-s0.5,4,23.546111189063183,0.6456172962983449,0.0019232968043070287,0.0646197572350502
calibration,000,RGB-HF-b0.20-s0.8,4,27.212624689759114,0.7682621330022812,0.001475493481848389,0.040818262845277786
calibration,003,RGB-HF-b0.20-s0.8,4,30.34010946968938,0.8969229062398275,0.0017366243700962514,0.026344656944274902
calibration,006,RGB-HF-b0.20-s0.8,4,29.613140166762676,0.8159710615873337,0.0008404932304983959,0.029739178717136383
calibration,010,RGB-HF-b0.20-s0.8,4,31.394751583833994,0.876627524693807,0.0006671114970231429,0.021912263706326485
calibration,011,RGB-HF-b0.20-s0.8,4,23.541790908068247,0.6442996511856715,0.001780360849807039,0.06469866633415222
calibration,000,RGB-HF-b0.30-s0.3,4,27.214920570066145,0.7691023945808411,0.0016216228541452438,0.040728844702243805
calibration,003,RGB-HF-b0.30-s0.3,4,30.33255456148191,0.8965573956569035,0.0018997634761035442,0.026339583098888397
calibration,006,RGB-HF-b0.30-s0.3,4,29.614473761122973,0.8163856019576391,0.0009113038977375254,0.029687197878956795
calibration,010,RGB-HF-b0.30-s0.3,4,31.406042676941293,0.8766130606333414,0.0007224952569231391,0.021827861666679382
calibration,011,RGB-HF-b0.30-s0.3,4,23.545002211709487,0.6460895389318466,0.0019540890643838793,0.06459856778383255
calibration,000,RGB-HF-b0.30-s0.4,4,27.21752940091649,0.7690798987944921,0.0016190781607292593,0.040736086666584015
calibration,003,RGB-HF-b0.30-s0.4,4,30.339777320652974,0.8967871715625128,0.0018965179042425007,0.02632732503116131
calibration,006,RGB-HF-b0.30-s0.4,4,29.61731267585924,0.8164428869883219,0.0009104513446800411,0.02969154715538025
calibration,010,RGB-HF-b0.30-s0.4,4,31.407081370573874,0.8767432818810145,0.0007215707883005962,0.02184014953672886
calibration,011,RGB-HF-b0.30-s0.4,4,23.54593820768748,0.6458553324143091,0.001950150530319661,0.06460896134376526
calibration,000,RGB-HF-b0.30-s0.5,4,27.218672106192578,0.7688892831405003,0.0015560824540443718,0.040757857263088226
calibration,003,RGB-HF-b0.30-s0.5,4,30.346274893040537,0.8970352113246918,0.0018257911724504083,0.02631550095975399
calibration,006,RGB-HF-b0.30-s0.5,4,29.618826082378668,0.8164038608471552,0.0008817834459478036,0.029703354462981224
calibration,010,RGB-HF-b0.30-s0.5,4,31.404971131298655,0.8768446693817774,0.0006994016439421102,0.02186560072004795
calibration,011,RGB-HF-b0.30-s0.5,4,23.545765450454923,0.6453141421079636,0.0018760033999569714,0.06463588029146194
calibration,000,RGB-HF-b0.30-s0.8,4,27.199262755860342,0.7674142519632975,0.0013720656570512801,0.04092094302177429
calibration,003,RGB-HF-b0.30-s0.8,4,30.322087019696667,0.896666556596756,0.0016237962699960917,0.026415623724460602
