split,sequence,frame,method,psnr,ssim,sharpness
calibration,006,00000020,RGB-HF-b0.05-s0.4,30.986806175178213,0.8515705068906149,0.0006831304053775966
calibration,006,00000040,RGB-HF-b0.05-s0.4,29.8217822500811,0.8261198798815409,0.0008053218480199575
calibration,006,00000060,RGB-HF-b0.05-s0.4,30.252040190569414,0.8333989779154459,0.0007818436133675277
calibration,006,00000080,RGB-HF-b0.05-s0.4,27.39832338058504,0.7544759710629781,0.0013740978902205825
calibration,010,00000020,RGB-HF-b0.05-s0.4,32.083963066741205,0.8895728786786398,0.0007581145036965609
calibration,010,00000040,RGB-HF-b0.05-s0.4,31.34036213289257,0.8724894523620605,0.0007071734871715307
calibration,010,00000060,RGB-HF-b0.05-s0.4,30.917582931989056,0.8668212890625,0.0006969895912334323
calibration,010,00000080,RGB-HF-b0.05-s0.4,31.282765250957905,0.8776137034098307,0.0007265345775522292
calibration,011,00000020,RGB-HF-b0.05-s0.4,24.56541209679724,0.6900078852971395,0.0020151003263890743
calibration,011,00000040,RGB-HF-b0.05-s0.4,23.889579055161988,0.6590945720672607,0.0020318033639341593
calibration,011,00000060,RGB-HF-b0.05-s0.4,22.985550916251036,0.6167874733606974,0.0019693286158144474
calibration,011,00000080,RGB-HF-b0.05-s0.4,22.739845263331603,0.6183990240097046,0.0017998956609517336
calibration,000,00000020,RGB-HF-b0.05-s0.5,27.338080797650306,0.7373416423797607,0.0013569522416219115
calibration,000,00000040,RGB-HF-b0.05-s0.5,27.008208758513845,0.7757415374120077,0.0015319122467190027
calibration,000,00000060,RGB-HF-b0.05-s0.5,27.385704067813478,0.7835338115692139,0.001879940857179463
calibration,000,00000080,RGB-HF-b0.05-s0.5,27.132074879100294,0.7797595858573914,0.0017203589668497443
calibration,003,00000020,RGB-HF-b0.05-s0.5,31.443443579190216,0.9134074449539185,0.0017664788756519556
calibration,003,00000040,RGB-HF-b0.05-s0.5,30.59459654891864,0.9029468894004822,0.001527339336462319
calibration,003,00000060,RGB-HF-b0.05-s0.5,29.9754940781061,0.8903178771336874,0.0019307167967781425
calibration,003,00000080,RGB-HF-b0.05-s0.5,29.32843314224467,0.8799055616060892,0.002375965006649494
calibration,006,00000020,RGB-HF-b0.05-s0.5,30.987361136394714,0.8515901366869608,0.0006833500228822231
calibration,006,00000040,RGB-HF-b0.05-s0.5,29.82281111884585,0.82614133755366,0.000805847579613328
calibration,006,00000060,RGB-HF-b0.05-s0.5,30.25350717649949,0.8334437608718872,0.0007826450746506453
calibration,006,00000080,RGB-HF-b0.05-s0.5,27.3988988805721,0.7544527848561605,0.0013747563352808356
calibration,010,00000020,RGB-HF-b0.05-s0.5,32.08429189799412,0.8895994822184244,0.0007581344689242542
calibration,010,00000040,RGB-HF-b0.05-s0.5,31.340422366896426,0.8725229303042094,0.000707385886926204
calibration,010,00000060,RGB-HF-b0.05-s0.5,30.918245920336027,0.8668704628944397,0.0006973386625759304
calibration,010,00000080,RGB-HF-b0.05-s0.5,31.283130397931345,0.8776498635609945,0.0007266417960636318
calibration,011,00000020,RGB-HF-b0.05-s0.5,24.565567749160163,0.689945916334788,0.002015727572143078
calibration,011,00000040,RGB-HF-b0.05-s0.5,23.889853919931078,0.6590318481127421,0.0020324592478573322
