method,num_frames,psnr,ssim,laplacian_sharpness,tde
RGB-MaskHF-b0.30-s0.5-t0.03,40,29.4982178865822,0.8142923265695572,0.001218720356700942,0.033661865629255765
RGB-HF-b0.30-s0.3,40,29.49817360545747,0.8142972280581791,0.0012185239174868912,0.033661651269843176
RGB-MaskHF-b0.60-s0.4-t0.03,40,29.498095723029405,0.8142925118406612,0.0012183472528704443,0.03366173822432757
RGB-MaskHF-b0.10-s0.8-t0.03,40,29.49808220216942,0.8142887716492015,0.001223822109750472,0.03366192386796077
RGB-MaskHF-b0.20-s0.5-t0.03,40,29.49802892024086,0.8142917772134146,0.001218714629067108,0.0336617261171341
RGB-MaskHF-b0.50-s0.4-t0.03,40,29.498021018814153,0.8142922058701515,0.0012183529732283204,0.033661691068361206
RGB-HF-b0.20-s0.3,40,29.497995305916255,0.8142948125799496,0.0012187154017738067,0.03366158145169417
RGB-MaskHF-b0.40-s0.4-t0.03,40,29.497945155414207,0.8142918532093366,0.0012183609607745894,0.03366164077694218
RGB-MaskHF-b0.30-s0.4-t0.03,40,29.49786868966198,0.8142915462454161,0.001218370122660417,0.03366159374515215
RGB-MaskHF-b0.05-s0.8-t0.03,40,29.497862730210283,0.8142897124091786,0.0012237580609507858,0.03366168532520532
RGB-MaskHF-b0.10-s0.5-t0.03,40,29.49783487656841,0.8142911493778229,0.0012187098633148707,0.03366158412148555
RGB-HF-b0.10-s0.3,40,29.497815833085365,0.8142925933003425,0.001218890689779073,0.03366151334096988
RGB-MaskHF-b0.20-s0.4-t0.03,40,29.497791330081213,0.8142911915977795,0.0012183742393972353,0.033661544167747096
RGB-MaskHF-b0.05-s0.5-t0.03,40,29.497734578433995,0.8142908503611881,0.0012186816471512429,0.033661517935494586
RGB-HF-b0.05-s0.3,40,29.497724833359467,0.814291293422381,0.0012188613865873777,0.03366148093094428
RGB-MaskHF-b0.10-s0.4-t0.03,40,29.4977126377073,0.8142908359567326,0.0012183473212644459,0.03366149868816137
RGB-MaskHF-b0.60-s0.3-t0.03,40,29.49767936584002,0.8142906924088795,0.001218118421093095,0.03366147770235936
RGB-MaskHF-b0.05-s0.4-t0.03,40,29.497673180381945,0.8142906233668328,0.0012182480699266308,0.03366147385289271
RGB-MaskHF-b0.50-s0.3-t0.03,40,29.497672116803482,0.814290651679039,0.0012180460398667492,0.03366147164876263
RGB-MaskHF-b0.40-s0.3-t0.03,40,29.497664210911427,0.8142905841271082,0.0012179533689050004,0.03366146882375082
RGB-MaskHF-b0.30-s0.3-t0.03,40,29.497656407643994,0.814290509124597,0.001217839696619194,0.03366146218031645
RGB-MaskHF-b0.20-s0.3-t0.03,40,29.49764878349895,0.814290434618791,0.001217693745275028,0.033661459137996036
RGB-MaskHF-b0.10-s0.3-t0.03,40,29.49764089226265,0.8142903024951617,0.0012175792784546503,0.0336614541709423
RGB-MaskHF-b0.05-s0.3-t0.03,40,29.497637147255535,0.8142901962002119,0.0012179623110569083,0.03366145190472404
FUGR-C,40,29.49763333101305,0.8142901370922724,0.0012873423635028302,0.03366145041460793
RGB-HF-b0.30-s0.8,40,29.485031866116962,0.8132235224048298,0.0010452024289406836,0.03378432343403499
BasicVSR,40,29.481058131638626,0.8141045058767,0.001283753772440832,0.03371293836583694
Y-HF-b0.60-s0.4,40,29.469257895430633,0.812042164305846,0.0012150732683949173,0.033917371773471434
Y-HF-b0.20-s0.5,40,29.469145688257584,0.8120876833796501,0.0012277991540031508,0.03391598810752233
Y-HF-b0.50-s0.4,40,29.469087733466257,0.8121002465486526,0.001231027538597118,0.033915559854358436
Y-HF-b0.30-s0.5,40,29.468912671766383,0.8119212746620178,0.0011891716771060602,0.033922946794579426
Y-HF-b0.10-s0.8,40,29.46879661026502,0.8119685923059782,0.001209566870238632,0.0339203257424136
Y-HF-b0.40-s0.4,40,29.468725806277575,0.8121513411402702,0.0012480757344746963,0.033914218998203675
Y-HF-b0.05-s0.8,40,29.46832632583143,0.8121705119808516,0.001260681623534765,0.0339134631678462
Y-HF-b0.30-s0.4,40,29.468248237452393,0.8121895775198936,0.0012657085142564028,0.033912517782300707
Y-HF-b0.10-s0.5,40,29.46807565494168,0.8122008209427198,0.0012723587817163207,0.03391177033384641
Y-HF-b0.20-s0.4,40,29.467872737321603,0.8122132952014605,0.0012813667737646029,0.03391065361599127
Y-MaskHF-b0.30-s0.5-t0.03,40,29.46783721972098,0.8122187420725823,0.0012873198167653755,0.03390995304410656
Y-HF-b0.05-s0.3,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.05-s0.3-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-HF-b0.05-s0.4,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.05-s0.4-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.05-s0.5-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.05-s0.8-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-HF-b0.10-s0.3,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.10-s0.3-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.10-s0.4-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.10-s0.5-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.10-s0.8-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-HF-b0.20-s0.3,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.20-s0.3-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.20-s0.4-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.20-s0.5-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
