sequence,method,num_frames,psnr,ssim,sharpness,tde
006,Lambda-1.20,4,29.61405060443824,0.8163392990827559,0.000986495811957866,0.029693007469177246
006,ResidualAtten-t0.020-g0.95,4,29.614061076194638,0.8163759559392928,0.0009717124485177919,0.029687056317925453
006,ResidualAtten-t0.010-g0.95,4,29.614039679911244,0.8163762092590332,0.0009717125649331138,0.02968728542327881
006,ResidualMedian-b0.25,4,29.612905616273984,0.8163699259360632,0.0009743699338287115,0.029698221012949944
006,ResidualClip-c1.20,4,29.606630446918327,0.8162814478079478,0.0009713681938592345,0.029720762744545937
010,FUGR-C,4,31.40584074959962,0.8765958299239476,0.0007719394779996946,0.021826589480042458
010,BasicVSR,4,31.387649195554477,0.8762688686450323,0.0007775286212563515,0.021878113970160484
010,Lambda-0.85,4,31.405129645541656,0.8765900582075119,0.0007724756287643686,0.021832844242453575
010,Lambda-0.95,4,31.40568285680028,0.8765956610441208,0.0007724794268142432,0.021828671917319298
010,Lambda-1.05,4,31.405918361975914,0.8765943944454193,0.0007810189126757905,0.021828340366482735
010,Lambda-1.20,4,31.405677175028174,0.8765799601872762,0.0007810998213244602,0.021833613514900208
010,ResidualAtten-t0.020-g0.95,4,31.405819907330205,0.8765956411759058,0.0007724795723333955,0.02182685397565365
010,ResidualAtten-t0.010-g0.95,4,31.405803037049136,0.8765954673290253,0.0007724795723333955,0.02182704769074917
010,ResidualMedian-b0.25,4,31.404725712378415,0.8765767216682434,0.0007747087511233985,0.021836793050169945
010,ResidualClip-c1.20,4,31.398516665469753,0.8764597227176031,0.0007729923381702974,0.02185654081404209
011,FUGR-C,4,23.544858520411307,0.6461115827163061,0.0020505755383055657,0.06459752470254898
011,BasicVSR,4,23.54171468404667,0.6461338549852371,0.0020300742762628943,0.06463711708784103
011,Lambda-0.85,4,23.545136917459782,0.6461489945650101,0.0020404056704137474,0.06460103392601013
011,Lambda-0.95,4,23.54498083112282,0.6461254010597864,0.002040410356130451,0.0645986869931221
011,Lambda-1.05,4,23.544707815348367,0.646096463004748,0.0020835701725445688,0.06459975242614746
011,Lambda-1.20,4,23.544077240454037,0.6460429280996323,0.002083926519844681,0.0646064355969429
011,ResidualAtten-t0.020-g0.95,4,23.544876075700166,0.6461132069428762,0.00204041029792279,0.06459776312112808
011,ResidualAtten-t0.010-g0.95,4,23.544889435277653,0.6461145381132761,0.00204041029792279,0.06459790468215942
011,ResidualMedian-b0.25,4,23.545014218180956,0.6461359560489655,0.0020466706773731858,0.06460417062044144
011,ResidualClip-c1.20,4,23.54378833362945,0.6461316148440043,0.0020392730075400323,0.06461945921182632
018,FUGR-C,4,24.6292374452174,0.6258672475814819,0.0015245154791045934,0.06118657812476158
018,BasicVSR,4,24.623594489231564,0.6259215474128723,0.0015185684897005558,0.06122647598385811
018,Lambda-0.85,4,24.629376266454287,0.6259207675854366,0.0015196028398349881,0.061190053820610046
018,Lambda-0.95,4,24.629322352048092,0.625886802872022,0.0015196161402855068,0.061187732964754105
018,Lambda-1.05,4,24.629115461128265,0.6258457352717717,0.0015536384598817676,0.06118922308087349
018,Lambda-1.20,4,24.628515473356902,0.6257707377274832,0.0015539510059170425,0.06119722127914429
018,ResidualAtten-t0.020-g0.95,4,24.629257581906383,0.6258695820967357,0.0015196161402855068,0.061186689883470535
018,ResidualAtten-t0.010-g0.95,4,24.629269023880553,0.6258715391159057,0.0015196161402855068,0.06118682026863098
018,ResidualMedian-b0.25,4,24.62928134196327,0.6259165505568186,0.0015254293684847653,0.06119213625788689
018,ResidualClip-c1.20,4,24.62760471424299,0.6259300957123438,0.0015199639019556344,0.06120401620864868
020,FUGR-C,4,27.370255110492813,0.7869759748379389,0.0011662014003377408,0.03864799439907074
020,BasicVSR,4,27.367861545335074,0.7869731187820435,0.0011596731492318213,0.038662124425172806
020,Lambda-0.85,4,27.371222975183684,0.7870143999656042,0.0011609125067479908,0.038647912442684174
020,Lambda-0.95,4,27.370630762628455,0.7869903097550074,0.001160915388027206,0.038647960871458054
020,Lambda-1.05,4,27.369828922740545,0.7869600902001063,0.0011865567357745022,0.03865128755569458
020,Lambda-1.20,4,27.368239909426613,0.7869033515453339,0.0011867672146763653,0.038661226630210876
020,ResidualAtten-t0.020-g0.95,4,27.370336580531788,0.7869779219230016,0.001160915388027206,0.03864787891507149
020,ResidualAtten-t0.010-g0.95,4,27.37039182047442,0.7869794120391209,0.001160915388027206,0.038647834211587906
020,ResidualMedian-b0.25,4,27.37101291048198,0.7870007157325744,0.001165269612101838,0.03864876553416252
020,ResidualClip-c1.20,4,27.370101350163218,0.787002831697464,0.0011616117699304596,0.0386556051671505
026,FUGR-C,4,32.88681668565649,0.8781935175259907,0.0007601549150422215,0.01961958035826683
026,BasicVSR,4,32.86635056786227,0.8780875653028489,0.0007598828087793663,0.01966211013495922
026,Lambda-0.85,4,32.88654789076679,0.8782239854335785,0.0007580471283290535,0.01962398737668991
026,Lambda-0.95,4,32.886838251850264,0.8782055377960205,0.0007580480742035434,0.019621046259999275
026,Lambda-1.05,4,32.886686361668936,0.8781797587871552,0.0007729757635388523,0.01962248794734478
026,Lambda-1.20,4,32.88563436649677,0.8781274656454722,0.0007730163051746786,0.019631216302514076
026,ResidualAtten-t0.020-g0.95,4,32.88676511255464,0.8781942377487818,0.0007580480450997129,0.019619861617684364
026,ResidualAtten-t0.010-g0.95,4,32.886742863526536,0.8781949083010355,0.0007580480450997129,0.01962004229426384
026,ResidualMedian-b0.25,4,32.88611938161111,0.8782124022642771,0.0007609172898810357,0.01962723396718502
026,ResidualClip-c1.20,4,32.87967061338983,0.8781711161136627,0.000758174413931556,0.0196421816945076
028,FUGR-C,4,33.54929112582312,0.9110194444656372,0.0012052046658936888,0.018498504534363747
028,BasicVSR,4,33.50237858372186,0.9105625847975414,0.0011877951910719275,0.018591808155179024
028,Lambda-0.85,4,33.545608001466974,0.9109904567400615,0.001201080740429461,0.018510563299059868
028,Lambda-0.95,4,33.54819593701665,0.9110114028056462,0.0012010895588900894,0.01850251480937004
028,Lambda-1.05,4,33.55025450260496,0.9110260109106699,0.0012193191214464605,0.01849873922765255
028,Lambda-1.20,4,33.552346891816256,0.9110363324483236,0.00121961030527018,0.01849946193397045
028,ResidualAtten-t0.020-g0.95,4,33.54902012868004,0.9110180040200552,0.0012010897626169026,0.01849924772977829
028,ResidualAtten-t0.010-g0.95,4,33.548854044684575,0.911017045378685,0.0012010897626169026,0.018499739468097687
028,ResidualMedian-b0.25,4,33.54484066096841,0.9109684626261393,0.0012029930658172816,0.01851835660636425
028,ResidualClip-c1.20,4,33.5268849948269,0.9107815970977147,0.0011936007358599454,0.018560372292995453
029,FUGR-C,4,34.4297411967602,0.9361320038636526,0.0007094573666108772,0.015481977723538876
029,BasicVSR,4,34.409892776900946,0.9359136621157329,0.0007072614971548319,0.01552284974604845
029,Lambda-0.85,4,34.43046060386238,0.9361394246419271,0.0007078309718053788,0.015486415475606918
029,Lambda-0.95,4,34.430127083902285,0.9361361066500345,0.0007078338239807636,0.01548345759510994
029,Lambda-1.05,4,34.429210173828274,0.9361265401045481,0.000720176103641279,0.015484859235584736
029,Lambda-1.20,4,34.426750259865344,0.9361002892255784,0.0007202589622465894,0.015493541955947876
029,ResidualAtten-t0.020-g0.95,4,34.42983517097174,0.9361323167880377,0.000707833663909696,0.01548212394118309
029,ResidualAtten-t0.010-g0.95,4,34.429893179624614,0.9361325204372406,0.0007078337512211874,0.015482247807085514
029,ResidualMedian-b0.25,4,34.4301149059697,0.936122457186381,0.0007103617244865745,0.015489350073039532
029,ResidualClip-c1.20,4,34.42338043559069,0.9360470970471699,0.0007068491395330057,0.015507766045629978
