frame,alpha_mean,alpha_max,disagreement_mean,temporal_risk_mean,BasicVSR_psnr,BasicVSR_ssim,BasicVSR_sharp,VSRGAN_psnr,VSRGAN_ssim,VSRGAN_sharp,RGB-Hybrid_psnr,RGB-Hybrid_ssim,RGB-Hybrid_sharp,FUGR-no-temporal_psnr,FUGR-no-temporal_ssim,FUGR-no-temporal_sharp,FUGR-temporal_psnr,FUGR-temporal_ssim,FUGR-temporal_sharp
00000012.png,0.01587848551571369,0.1471080780029297,0.027188898995518684,0.019937725737690926,27.494346115374114,0.7535101175308228,0.0016636833315715194,25.091198125057787,0.6728113889694214,0.00574683491140604,27.49838535917082,0.7536243001619974,0.0016715631354600191,27.504854151909367,0.7537860075632731,0.00169735262170434,27.499842442684297,0.7536735137303671,0.0016854752320796251
00000013.png,0.01566024124622345,0.1385558545589447,0.028047678992152214,0.019938644021749496,27.416025142391952,0.7504159013430277,0.0016722208820283413,24.91858227359163,0.6684474150339762,0.005908011458814144,27.419970669785165,0.7505201896031698,0.0016784514300525188,27.427653550579695,0.7506952881813049,0.0017036382341757417,27.4217440043309,0.7505732576052347,0.0016932586440816522
00000014.png,0.01572473905980587,0.14672109484672546,0.028284544125199318,0.01984674111008644,27.34162906362137,0.7536305983861288,0.0017129949992522597,24.814155926633372,0.6718754768371582,0.006071868352591991,27.34521150751544,0.7537351051966349,0.0017202949384227395,27.351801340261126,0.753885825475057,0.001748267444781959,27.346923830980693,0.7537830074628195,0.0017355004092678428
00000015.png,0.01584467478096485,0.1401243656873703,0.02828344888985157,0.019267691299319267,27.272535195118216,0.7530970374743143,0.0017181227449327707,24.795266732247274,0.6717778444290161,0.005983987357467413,27.27722070536324,0.7532031536102295,0.0017244346672669053,27.28474423191946,0.7533376614252726,0.0017529145115986466,27.278830769903905,0.7532514333724976,0.0017397308256477118
00000016.png,0.015603572130203247,0.1470387578010559,0.028041018173098564,0.019357094541192055,27.229799867051963,0.7517417669296265,0.0017164628952741623,24.779254138828662,0.667540450890859,0.00613821716979146,27.233788019618196,0.7518207629521688,0.0017246591160073876,27.240088692705836,0.7519632776578268,0.0017547932220622897,27.235119377196813,0.7518736124038696,0.0017394950846210122
00000017.png,0.015288135968148708,0.14365068078041077,0.027842042967677116,0.020004354417324066,27.319811905358982,0.7520807385444641,0.0017035163473337889,24.828000267699473,0.6682255268096924,0.006017842795699835,27.323480397224444,0.7521537939707438,0.0017107141902670264,27.329105393550577,0.7522754669189453,0.0017396968323737383,27.3251309192447,0.7522078355153402,0.0017257190775126219
00000018.png,0.015534134581685066,0.1459212750196457,0.027125125750899315,0.019708974286913872,27.424232695389566,0.751927117506663,0.001594996196217835,24.97181593430942,0.6691012581189474,0.005740938242524862,27.42848967864959,0.7520063122113546,0.0016038314206525683,27.43369126891775,0.7521616220474243,0.0016342808958142996,27.429841526478942,0.7520667711893717,0.001618897425942123
00000019.png,0.015384235419332981,0.13697776198387146,0.027155563235282898,0.01985340565443039,27.34687058511344,0.7445418834686279,0.0014933738857507706,24.93607755176185,0.6572603980700175,0.005785050336271524,27.349864070832943,0.7445951104164124,0.0015048979548737407,27.355669397926675,0.7447447180747986,0.0015392103232443333,27.35141090489975,0.7446560462315878,0.0015199314802885056
00000020.png,0.015264679677784443,0.15032126009464264,0.027214664965867996,0.020160825923085213,27.353503345003645,0.7386829853057861,0.0014099105028435588,24.921393454657554,0.6475635369618734,0.005768460687249899,27.356434015755596,0.7387182911237081,0.001422753557562828,27.360866774893495,0.7388458450635275,0.0014589251950383186,27.357746831964356,0.738783617814382,0.0014382916269823909
00000021.png,0.015238762833178043,0.14223970472812653,0.027314480394124985,0.020151488482952118,27.381250324433687,0.7346094846725464,0.0013777905842289329,24.93768070153491,0.6446574926376343,0.005585882347077131,27.384193695224322,0.7346610029538473,0.0013900481862947345,27.389899317838278,0.7348138689994812,0.0014237667201086879,27.385884073911605,0.7347260316212972,0.0014055268839001656
00000022.png,0.015469581820070744,0.13872197270393372,0.027812723070383072,0.020214898511767387,27.306467343290993,0.7371747493743896,0.0013976695481687784,24.85547130183367,0.6467239459355673,0.005755333695560694,27.30914603760903,0.7372172276178995,0.0014085345901548862,27.315726021271036,0.7373879154523214,0.0014430282171815634,27.310623725689084,0.7372814218203226,0.0014239740557968616
