split,sequence,method,num_frames,psnr,ssim,sharpness,edge_psnr,flat_psnr,hf_mae,tde
all40,006,ControlNet-FUGR,4,22.67278841903714,0.5988702625036239,0.0007220472471090034,18.653682975622132,24.782675548847937,0.015502766473218799,0.07082548240820567
all40,010,ControlNet-FUGR,4,24.7910515260002,0.7159938712914785,0.0005247124790912494,20.077340506339365,27.719166822261514,0.011005196254700422,0.054306248823801674
all40,011,ControlNet-FUGR,4,18.972890237775616,0.4197258278727532,0.0014670107630081475,15.814884580857772,20.326710429746154,0.03344053588807583,0.11464264740546544
all40,018,ControlNet-FUGR,4,19.199586809339156,0.33940865596135456,0.0013066766550764441,16.563057267630843,20.217102325574395,0.030654436443001032,0.11677666753530502
all40,020,ControlNet-FUGR,4,21.49123488820258,0.5822085539499919,0.0008179112192010507,17.037923003684146,24.066433378103437,0.018620632123202085,0.0803504263361295
all40,026,ControlNet-FUGR,4,24.917863750293023,0.7054219643274944,0.000471821564133279,20.731550992464374,27.177375361292473,0.009935662616044283,0.05357897529999415
all40,028,ControlNet-FUGR,4,24.442122414071765,0.7446321845054626,0.0007870748813729733,19.71191244322867,27.417526226353427,0.009818066842854023,0.05694334705670675
all40,029,ControlNet-FUGR,4,25.274015563772508,0.7741524328788122,0.0005270882465993054,20.249338414602327,28.709045071270893,0.008184012142010033,0.05155092974503835
all40,000,FreqFusion-selected-b0.60-s0.4,4,27.21887354401816,0.7689971824487051,0.0015850549098104239,22.402032624647042,30.310114347177723,0.017421269323676825,0.04074676955739657
all40,003,FreqFusion-selected-b0.60-s0.4,4,30.344938470847847,0.8969779511292776,0.001858125877333805,24.950738787386467,34.53979262217106,0.010064173955470324,0.026316796739896137
all40,006,FreqFusion-selected-b0.60-s0.4,4,29.618908522473554,0.8164528012275696,0.0008959335100371391,24.7100559046513,32.93546208343816,0.013093518791720271,0.02969735550383727
all40,010,FreqFusion-selected-b0.60-s0.4,4,31.40657080131138,0.8768395781517029,0.0007105890399543568,25.620595969862507,36.604164587803204,0.009101245552301407,0.021854454651474953
all40,011,FreqFusion-selected-b0.60-s0.4,4,23.546163312002683,0.6455490589141846,0.0019094460003543645,20.093665839009653,25.126963227124634,0.030057502444833517,0.06462303300698598
all40,018,FreqFusion-selected-b0.60-s0.4,4,24.633901990399274,0.6252921919027965,0.0014191993686836213,21.46397039412396,25.99629864121899,0.027574367355555296,0.06117540722091993
all40,020,FreqFusion-selected-b0.60-s0.4,4,27.370505801962473,0.7868346323569615,0.0010852031264221296,22.202569684112575,31.05610194299338,0.016322449781000614,0.03867172822356224
