split,method,num_sequences,num_frames,psnr,ssim,sharpness,edge_psnr,flat_psnr,hf_mae,tde,beta,sigma,delta_psnr_vs_fugr,delta_ssim_vs_fugr,delta_edge_psnr_vs_fugr,delta_tde_vs_fugr
all40,RGB-HF-b0.20-s0.8,10,40,29.499348062213908,0.8138236646850905,0.0011185776129423175,24.578205626809186,33.152211459306514,0.01450338464928791,0.03371282952527206,0.2,0.8,0.001714731200866737,-0.00046647240718189487,-0.007700104703687316,5.137911066413481e-05
all40,RGB-HF-b0.60-s0.5,10,40,29.498910520009012,0.8138836224873861,0.0010835561879503075,24.5753648967321,33.157743741624884,0.01448797337943688,0.033721098148574435,0.6,0.5,0.001277188995970846,-0.00040651460488627666,-0.010540834780773167,5.9647733966508576e-05
all40,RGB-HF-b0.60-s0.3,10,40,29.498694930414114,0.8143038968245188,0.0012183792772702874,24.586500315230094,33.12896638283395,0.014552573184482753,0.03366184998303652,0.6,0.3,0.0010615994010727547,1.3759732246376721e-05,0.0005945837172198765,3.9956842859401043e-07
all40,RGB-HF-b0.05-s0.4,10,40,29.498551241889043,0.814301390449206,0.0012183537575765513,24.586422505065254,33.12865366483188,0.014553279569372534,0.03366183253626029,0.05,0.4,0.0009179108760015708,1.1253356933638159e-05,0.0005167735523805561,3.821216523619553e-07
all40,RGB-HF-b0.50-s0.3,10,40,29.498522881181145,0.8143015936017036,0.001218467937724199,24.58640633886509,33.12859279734721,0.014553360419813543,0.03366178842261434,0.5,0.3,0.0008895501681038809,1.1456509431240214e-05,0.0005006073522153542,3.380080064105395e-07
all40,RGB-HF-b0.40-s0.3,10,40,29.498348945505747,0.8142994826038679,0.0012185233485070058,24.586310277317498,33.12821732275505,0.014554151287302374,0.03366172043606639,0.4,0.3,0.0007156144927051855,9.345511595482137e-06,0.0004045458046242345,2.700214584636096e-07
all40,RGB-HF-b0.30-s0.3,10,40,29.498173605457474,0.8142972280581791,0.0012185239174868912,24.586212216588482,33.12783933147404,0.014554947440046817,0.033661651269843176,0.3,0.3,0.0005402744444324981,7.0909659066753505e-06,0.0003064850756082649,2.0085523524948634e-07
all40,RGB-HF-b0.20-s0.3,10,40,29.497995305916255,0.8142948125799496,0.0012187154017738067,24.58611194371671,33.12745923475025,0.014555747411213816,0.03366158145169417,0.2,0.3,0.00036197490321399073,4.675487677241463e-06,0.0002062122038353209,1.310370862442345e-07
all40,RGB-HF-b0.10-s0.3,10,40,29.497815833085372,0.8142925933003425,0.001218890689779073,24.58600977466077,33.127076951462016,0.014556551061104983,0.03366151334096988,0.1,0.3,0.00018250207233094784,2.4562080701562294e-06,0.00010404314789624891,6.292636195448509e-08
all40,RGB-HF-b0.05-s0.3,10,40,29.497724833359467,0.814291293422381,0.0012188613865873777,24.58595812080119,33.12688466546761,0.014556955033913254,0.03366148093094428,0.05,0.3,9.15023464251874e-05,1.1563301086647826e-06,5.23892883173005e-05,3.05163363537031e-08
all40,RGB-HF-b0.30-s0.8,10,40,29.48503186611697,0.8132235224048296,0.0010452024289406836,24.559297215449686,33.14895561897667,0.01450029235566035,0.03378432343403499,0.3,0.8,-0.012601464896071946,-0.0010666146874427351,-0.026608516063188148,0.0001228730194270597
all40,RGB-HF-b0.40-s0.8,10,40,29.46073146802982,0.8123781278729438,0.0009785015259694773,24.530528053295694,33.135027742812596,0.014513150288257748,0.033891417738050225,0.4,0.8,-0.03690186298322118,-0.0019120092193285476,-0.055377678217180204,0.0002299673234422983
all40,RGB-HF-b0.50-s0.8,10,40,29.42664979680631,0.8112883607546488,0.0009193871563184075,24.492134669845797,33.11055285444253,0.014541681238915772,0.03403415142868956,0.5,0.8,-0.0709835342067322,-0.0030017763376235518,-0.09377106166707705,0.00037270101408163475
all40,RGB-HF-b0.60-s0.8,10,40,29.383069079313646,0.8099560807148615,0.0008682364321430213,24.444426878020153,33.07575636866683,0.014585445041302592,0.03421183709676067,0.6,0.8,-0.11456425169939521,-0.004334056377410911,-0.14147885349272116,0.0005503866821527439
