split,sequence,frame,method,psnr,ssim,sharpness,edge_psnr,flat_psnr,hf_mae
all40,026,00000020,FreqFusion-selected-b0.60-s0.4,32.08909771658541,0.8630890846252441,0.0007523061358369887,27.037776649866817,35.557333972694664,0.008968173526227474
all40,026,00000040,FreqFusion-selected-b0.60-s0.4,33.42796929256862,0.884653906027476,0.0006668409332633018,28.616741765724658,36.49899133863504,0.007731876336038113
all40,026,00000060,FreqFusion-selected-b0.60-s0.4,32.4960447178161,0.8735540906588236,0.0007137253414839506,27.4648865156413,35.92873552284758,0.008248386904597282
all40,026,00000080,FreqFusion-selected-b0.60-s0.4,33.61423209771621,0.8926331996917725,0.0006885333568789065,28.71750630529906,36.819876568292656,0.0073903813026845455
all40,028,00000020,FreqFusion-selected-b0.60-s0.4,33.4229167016113,0.9304735461870829,0.0010324629256501794,27.2928315889635,39.911543620358614,0.006683334242552519
all40,028,00000040,FreqFusion-selected-b0.60-s0.4,32.96335897074329,0.8802650570869446,0.001044112490490079,27.851161610971467,36.54135686540046,0.008721104823052883
all40,028,00000060,FreqFusion-selected-b0.60-s0.4,33.01768808229991,0.9003507693608602,0.001307451049797237,27.735905122830356,36.92819811750732,0.008055753074586391
all40,028,00000080,FreqFusion-selected-b0.60-s0.4,34.83023907598616,0.9346067508061727,0.0010821131290867925,29.367501699809985,39.14514071670208,0.005942950956523418
all40,029,00000020,FreqFusion-selected-b0.60-s0.4,35.300299678066324,0.9392538865407308,0.000725748366676271,29.569125968178266,40.32481781132176,0.005928403232246637
all40,029,00000040,FreqFusion-selected-b0.60-s0.4,33.655697493735644,0.9318613012631735,0.0008404525578953326,27.664825377304,39.5633880200377,0.006647652015089989
all40,029,00000060,FreqFusion-selected-b0.60-s0.4,33.45492851710409,0.9323985377947489,0.0005809968570247293,27.230356133645543,40.405712842306386,0.006312803365290165
all40,029,00000080,FreqFusion-selected-b0.60-s0.4,35.36490098476858,0.942054291566213,0.0004987141583114862,29.215118537192126,41.94604787943366,0.0054696593433618546
all40,000,00000020,FreqFusion-expandedbest-b0.30-s0.5,27.34211594668317,0.7370340625445048,0.0013063665246590972,22.651955227248234,30.233664123795883,0.017862722277641296
all40,000,00000040,FreqFusion-expandedbest-b0.30-s0.5,27.0117522301384,0.7755781014760336,0.0014684463385492563,21.939576095838955,30.516994058542338,0.016967052593827248
all40,000,00000060,FreqFusion-expandedbest-b0.30-s0.5,27.3878981585022,0.7834375301996866,0.001801240025088191,22.57021786773113,30.468969235585412,0.017127294093370438
all40,000,00000080,FreqFusion-expandedbest-b0.30-s0.5,27.132922089446552,0.7795074383417765,0.0016482769278809428,22.442274014553185,30.025110856676864,0.017711440101265907
all40,003,00000020,FreqFusion-expandedbest-b0.30-s0.5,31.445779601811815,0.9137254357337952,0.0016928932163864374,25.82874271841598,36.15106365452682,0.008736497722566128
all40,003,00000040,FreqFusion-expandedbest-b0.30-s0.5,30.589983757724298,0.9031418363253275,0.0014695862773805857,24.98809028962748,35.25201220550445,0.009562908671796322
all40,003,00000060,FreqFusion-expandedbest-b0.30-s0.5,30.00534509609929,0.8908981283505758,0.001854175585322082,24.74419586082942,33.87299102058609,0.010224581696093082
all40,003,00000080,FreqFusion-expandedbest-b0.30-s0.5,29.343991116526755,0.8803754448890686,0.0022865096107125282,24.237880212794913,32.91071642017211,0.011675157584249973
all40,006,00000020,FreqFusion-expandedbest-b0.30-s0.5,30.98740143651184,0.8516361514727274,0.0006627028924413025,25.634094171065694,35.050951860351375,0.010349758900702
all40,006,00000040,FreqFusion-expandedbest-b0.30-s0.5,29.827173414158064,0.8261925180753072,0.0007817948935553432,24.760871690158986,33.322727135091824,0.012278576381504536
all40,006,00000060,FreqFusion-expandedbest-b0.30-s0.5,30.261148065318135,0.8336790800094604,0.0007582390680909157,25.197578472534417,33.75143191893167,0.011380470357835293
all40,006,00000080,FreqFusion-expandedbest-b0.30-s0.5,27.399581413526633,0.7541076938311259,0.0013243969297036529,23.24121256486446,29.627500616796226,0.018339749425649643
all40,010,00000020,FreqFusion-expandedbest-b0.30-s0.5,32.08198488591961,0.8897091348965963,0.0007325389888137579,26.228655645887784,37.49343880370357,0.00850855465978384
all40,010,00000040,FreqFusion-expandedbest-b0.30-s0.5,31.336417076489443,0.872676948706309,0.0006855156971141696,25.563643418946967,36.48878660119791,0.009366253390908241
all40,010,00000060,FreqFusion-expandedbest-b0.30-s0.5,30.91976027422577,0.8671626249949137,0.0006758129457011819,25.21442392080971,35.86823684471206,0.00942269992083311
