sequence,motion,basic_psnr,fugr_psnr,delta_psnr_fugr_minus_basic,basic_ssim,fugr_ssim,delta_ssim_fugr_minus_basic,basic_tde,fugr_tde,delta_tde_fugr_minus_basic,basic_sharpness,fugr_sharpness,delta_sharpness_fugr_minus_basic,gan_psnr,rgb_psnr,fugr_temporal_psnr
024,0.07254007458686829,27.962939362473698,27.972479881160336,0.009540518686637967,0.7901624315977096,0.7902852781613668,0.00012284656365724178,0.03256881982088089,0.03252622112631798,-4.259869456291199e-05,0.0008741323457797989,0.0008738926850492135,-2.396607305854472e-07,24.22739156621435,27.966089819583903,27.969147754015772
013,0.04966210201382637,25.850581949660736,25.859801612191724,0.00921966253098816,0.7494349507490794,0.7496936494112014,0.0002586986621220255,0.033729929476976395,0.03368547186255455,-4.445761442184448e-05,0.002035652942722663,0.0020517394307535144,1.60864880308512e-05,23.703942069628066,25.854871512598198,25.856874427397212
022,0.11483000963926315,26.54430295190704,26.552956791223806,0.008653839316767886,0.7392563114563625,0.7394021362066268,0.00014582475026425623,0.04287835955619812,0.04282680153846741,-5.155801773071289e-05,0.0016696859512012451,0.0016942573501728475,2.4571398971602425e-05,23.56106645771856,26.546994725948515,26.54901654391711
012,0.11809991300106049,28.157211975194762,28.16583488986693,0.00862291467216636,0.8095248432954153,0.8097599470615385,0.0002351037661232347,0.033484190702438354,0.033441103994846344,-4.30867075920105e-05,0.0015331050509121268,0.0015398896334227175,6.784582510590675e-06,24.02712788646938,28.161881622699976,28.162929804267957
001,0.09158381074666977,26.989436628187395,26.996063966394882,0.006627338207486844,0.7696089845895768,0.7698068449894587,0.00019786039988189952,0.037222396582365036,0.037196818739175797,-2.5577843189239502e-05,0.0017889164679218083,0.0018148258328437804,2.5909364921972156e-05,24.19087352938222,26.992439909462696,26.993012337672305
023,0.11015725135803223,26.678601849993097,26.68495717304677,0.006355323053671924,0.7264591014385222,0.7264660604794819,6.959040959708673e-06,0.042976249009370804,0.04293736070394516,-3.888830542564392e-05,0.0017508148727938533,0.0017570579133462162,6.24304055236286e-06,23.507287047510346,26.6787755904305,26.68257647217253
015,0.12310779094696045,24.784634643944347,24.790850372933615,0.006215728989268143,0.6862933262189229,0.6864248512188592,0.0001315249999362944,0.05337965115904808,0.05333457887172699,-4.50722873210907e-05,0.0022302659787237643,0.002246839499566704,1.657352084293972e-05,21.20841643298011,24.78699278444577,24.78785572221789
025,0.07430557161569595,28.910227693585526,28.916188204873343,0.005960511287817383,0.7927384712298711,0.7927106742064158,-2.7797023455233827e-05,0.030136892572045326,0.03011166863143444,-2.522394061088562e-05,0.0005669040192151443,0.0005684377523721196,1.5337331569753023e-06,25.949482387463306,28.90804995246372,28.91521544036557
018,0.09157130867242813,24.656969924347823,24.6625688136203,0.005598889272476981,0.6266318533817927,0.6265889849265417,-4.286845525103278e-05,0.05710700526833534,0.05706324055790901,-4.3764710426330566e-05,0.0015226058149710297,0.0015293620352167636,6.756220245733883e-06,21.58019914548345,24.65747624983444,24.660390961299576
014,0.09878819435834885,26.603698232904406,26.60911701036756,0.0054187774631522245,0.7154712293545405,0.7156362913052243,0.00016506195068377583,0.04424787312746048,0.04420395940542221,-4.391372203826904e-05,0.0013228887133300304,0.0013404628494754433,1.7574136145412887e-05,23.32308619100843,26.605840685861686,26.607877648133027
027,0.11038190871477127,26.086134816066746,26.090131179258204,0.00399636319145813,0.7667920120557149,0.7667186007897057,-7.341126600923786e-05,0.044324420392513275,0.04429325461387634,-3.116577863693237e-05,0.0014533020230010152,0.0014608334621880204,7.531439187005197e-06,22.505406794218754,26.08619372957015,26.089440621793692
011,0.12681852281093597,23.86060404733834,23.86406147966077,0.003457432322427678,0.6635825632015865,0.6635570728778839,-2.549032370258164e-05,0.059311024844646454,0.059275973588228226,-3.505125641822815e-05,0.0020027514395769687,0.0020221259852405637,1.937454566359499e-05,20.78953836656034,23.861852740789764,23.86280484571948
016,0.0640643984079361,23.880265764138375,23.883610765686328,0.0033450015479523643,0.6551578640937805,0.6548521274328232,-0.0003057366609573453,0.05177585035562515,0.051753949373960495,-2.1900981664657593e-05,0.002116416624048725,0.002109262648737058,-7.153975311666692e-06,21.25207713532028,23.880088681804587,23.882883824834707
019,0.0522090345621109,27.47360370333375,27.476879828379268,0.0032761250455166646,0.7351675156752268,0.7351838743686675,1.6358693440743366e-05,0.03533782437443733,0.0353209413588047,-1.6883015632629395e-05,0.0009382915403693914,0.0009546071657678113,1.6315625398419828e-05,24.3039681748122,27.47255698058161,27.476536018614865
017,0.07263797521591187,24.767917073082728,24.76992095421822,0.002003881135493657,0.6764873496691386,0.6763275831937792,-0.00015976647535942412,0.04625028371810913,0.04622907191514969,-2.121180295944214e-05,0.0016723157127853483,0.0016928050038404762,2.048929105512797e-05,21.20683032596693,24.763724035538534,24.769777574561086
020,0.080027274787426,27.372839288185403,27.374089327612364,0.0012500394269601145,0.7860526444514592,0.7860345925887424,-1.80518627167503e-05,0.0357566699385643,0.03574459254741669,-1.2077391147613525e-05,0.0011614905117312447,0.0011676678038202227,6.17729208897801e-06,24.119716935326277,27.371960305301403,27.375224412067354
